model,mae,mse,rmse,r2,train_mae,train_rmse,train_r2
Gradient Boosting,5.511260949146119,50.504078333541905,7.106622146529384,0.8552323134552662,5.362036143126869,6.8993793993853245,0.8576632930568542
Random Forest,5.60374276517474,52.444486615964,7.241856572451846,0.8496702197141767,2.1370929464138304,2.787764603043165,0.976761448321129
Linear Regression,5.630523036142736,51.787021505659695,7.196319997447286,0.8515548141101785,5.677288473638358,7.301453274131885,0.8405900303024728
Decision Tree,7.812344007923407,100.88347339055795,10.044076532492072,0.7108220259580758,0.0003962357602773648,0.03045958031046143,0.9999972257557866
Dummy Regressor,15.159362674761438,348.8925687066084,18.678666138314277,-8.49771128395016e-05,14.758072724259048,18.287383424083867,0.0
